2020-11-13 14:43:48,051 [main] INFO  org.apache.iotdb.db.conf.IoTDBDescriptor:148 - Start to read config file file:sbin/../conf/iotdb-engine.properties 
2020-11-13 14:43:48,055 [main] INFO  org.apache.iotdb.db.conf.IoTDBDescriptor:167 - The stat_monitor_detect_freq_sec value is smaller than default, use default value 
2020-11-13 14:43:48,055 [main] INFO  org.apache.iotdb.db.conf.IoTDBDescriptor:174 - The stat_monitor_retain_interval_sec value is smaller than default, use default value 
2020-11-13 14:43:48,056 [main] INFO  org.apache.iotdb.db.conf.IoTDBDescriptor:796 - allocateMemoryForRead = 109521666048 
2020-11-13 14:43:48,057 [main] INFO  org.apache.iotdb.db.conf.IoTDBDescriptor:797 - allocateMemoryForWrite = 146028888064 
2020-11-13 14:43:48,057 [main] INFO  org.apache.iotdb.db.conf.IoTDBDescriptor:798 - allocateMemoryForSchema = 36507222016 
2020-11-13 14:43:48,057 [main] INFO  org.apache.iotdb.db.conf.IoTDBDescriptor:266 - IoTDB enable memory control: false 
2020-11-13 14:43:48,060 [main] INFO  org.apache.iotdb.tsfile.common.conf.TSFileDescriptor:108 - Start to read config file sbin/../conf/iotdb-engine.properties 
2020-11-13 14:43:48,062 [main] INFO  org.apache.iotdb.db.metadata.MManager:164 - create system folder /home/ubuntu/iotdb-server-0.11.0-SNAPSHOT/sbin/../data/system/schema 
2020-11-13 14:43:48,063 [main] INFO  org.apache.iotdb.db.conf.IoTDBConfigCheck:95 - Starting IoTDB 0.11.0-SNAPSHOT 
2020-11-13 14:43:48,064 [main] INFO  org.apache.iotdb.db.conf.IoTDBConfigCheck:156 -  /home/ubuntu/iotdb-server-0.11.0-SNAPSHOT/sbin/../data/system/schema/system.properties has been created. 
2020-11-13 14:43:48,072 [main] WARN  org.apache.iotdb.db.service.StartupChecks:36 - iotdb.jmx.port missing from iotdb-env.sh(Unix or OS X, if you use Windows, check conf/iotdb-env.bat) 
2020-11-13 14:43:48,073 [main] INFO  org.apache.iotdb.db.service.StartupChecks:52 - JDK veriosn is 11. 
2020-11-13 14:43:48,073 [main] INFO  org.apache.iotdb.db.service.IoTDB:95 - Setting up IoTDB... 
2020-11-13 14:43:48,074 [main] INFO  org.apache.iotdb.db.service.IoTDB:99 - recover the schema... 
2020-11-13 14:43:48,097 [main] INFO  org.apache.iotdb.db.service.IoTDB:158 - spend 23ms to recover schema. 
2020-11-13 14:43:48,097 [main] INFO  org.apache.iotdb.db.service.IoTDB:159 - After initializing, tsFile threshold is 0, memtableSize is 3737418240 
2020-11-13 14:43:48,100 [main] INFO  org.apache.iotdb.db.concurrent.IoTDBThreadPoolFactory:46 - new fixed thread pool: Flush-ServerServiceImpl, thread number: 48 
2020-11-13 14:43:48,101 [main] INFO  org.apache.iotdb.db.concurrent.IoTDBThreadPoolFactory:80 - new cached thread pool: Flush-SubTask-ServerServiceImpl 
2020-11-13 14:43:48,102 [main] INFO  org.apache.iotdb.db.engine.flush.pool.FlushSubTaskPoolManager:57 - Flush sub task manager started. 
2020-11-13 14:43:48,102 [main] INFO  org.apache.iotdb.db.engine.flush.pool.FlushTaskPoolManager:58 - Flush task manager started. 
2020-11-13 14:43:48,107 [main] INFO  org.apache.iotdb.db.cost.statistic.Measurement:142 - start measurement stats module... 
2020-11-13 14:43:48,107 [main] INFO  org.apache.iotdb.db.cost.statistic.Measurement:250 - start the consuming task in the measurement stats module... 
2020-11-13 14:43:48,112 [main] INFO  org.apache.iotdb.db.concurrent.IoTDBThreadPoolFactory:46 - new fixed thread pool: Recovery-Thread-Pool, thread number: 48 
2020-11-13 14:43:48,117 [main] INFO  org.apache.iotdb.db.concurrent.IoTDBThreadPoolFactory:63 - new single thread pool: Begin-Recovery-Pool 
2020-11-13 14:43:48,120 [main] INFO  org.apache.iotdb.db.service.thrift.ThriftService:99 - IoTDB: start RPC ServerService... 
2020-11-13 14:43:48,135 [main] INFO  org.apache.iotdb.db.auth.authorizer.BasicAuthorizer$InstanceHolder:87 - Authorizer provider class: org.apache.iotdb.db.auth.authorizer.LocalFileAuthorizer 
2020-11-13 14:43:48,137 [main] INFO  org.apache.iotdb.db.auth.user.LocalFileUserAccessor:228 - user info dir sbin/../data/system/users is created 
2020-11-13 14:43:48,143 [main] INFO  org.apache.iotdb.db.auth.user.BasicUserManager:79 - Admin initialized 
2020-11-13 14:43:48,145 [main] INFO  org.apache.iotdb.db.auth.user.BasicUserManager:79 - Admin initialized 
2020-11-13 14:43:48,145 [main] INFO  org.apache.iotdb.db.auth.role.LocalFileRoleAccessor:172 - role info dir sbin/../data/system/roles is created 
2020-11-13 14:43:48,145 [main] INFO  org.apache.iotdb.db.auth.authorizer.BasicAuthorizer:67 - Initialization of Authorizer completes 
2020-11-13 14:43:48,160 [RPC-ServerServiceImpl] INFO  org.apache.iotdb.db.service.thrift.ThriftServiceThread:102 - The RPC ServerService service thread begin to run... 
2020-11-13 14:43:48,260 [main] INFO  org.apache.iotdb.db.service.thrift.ThriftService:117 - IoTDB: start RPC ServerService successfully, listening on ip 0.0.0.0 port 6667 
2020-11-13 14:43:48,261 [main] INFO  org.apache.iotdb.db.service.IoTDB:127 - IoTDB is set up, now may some sgs are not ready, please wait several seconds... 
2020-11-13 14:43:48,262 [main] INFO  org.apache.iotdb.db.service.UpgradeSevice:112 - finish counting upgrading files, total num:0 
2020-11-13 14:43:48,263 [main] INFO  org.apache.iotdb.db.service.UpgradeSevice:73 - Waiting for upgrade task pool to shut down 
2020-11-13 14:43:48,263 [main] INFO  org.apache.iotdb.db.service.UpgradeSevice:78 - Upgrade service stopped 
2020-11-13 14:43:48,270 [main] INFO  org.apache.iotdb.db.engine.merge.manage.MergeManager:154 - MergeManager started 
2020-11-13 14:43:48,270 [main] INFO  org.apache.iotdb.db.engine.compaction.CompactionMergeTaskPoolManager:57 - Compaction task manager started. 
2020-11-13 14:43:48,270 [main] INFO  org.apache.iotdb.db.service.IoTDB:144 - Congratulation, IoTDB is set up successfully. Now, enjoy yourself! 
2020-11-13 14:43:48,270 [main] INFO  org.apache.iotdb.db.service.IoTDB:91 - IoTDB has started. 
2020-11-13 14:45:02,304 [pool-6-IoTDB-RPC-Client-thread-21] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-2 
2020-11-13 14:45:02,311 [pool-6-IoTDB-RPC-Client-thread-21] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 14:45:02,310 [pool-6-IoTDB-RPC-Client-thread-143] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-143 
2020-11-13 14:45:02,304 [pool-6-IoTDB-RPC-Client-thread-18] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-25 
2020-11-13 14:45:02,313 [pool-6-IoTDB-RPC-Client-thread-143] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 14:45:02,304 [pool-6-IoTDB-RPC-Client-thread-70] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-18 
2020-11-13 14:45:02,304 [pool-6-IoTDB-RPC-Client-thread-11] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-102 
2020-11-13 14:45:02,313 [pool-6-IoTDB-RPC-Client-thread-18] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 14:45:02,313 [pool-6-IoTDB-RPC-Client-thread-11] INFO  org.apache.iotdb.db.service.TSServiceImpl:252 - IoTDB: Login status: Login successfully. User : root 
2020-11-13 14:45:02,304 [pool-6-IoTDB-RPC-Client-thread-43] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-85 
2020-11-13 14:45:02,310 [pool-6-IoTDB-RPC-Client-thread-44] INFO  org.apache.iotdb.db.service.TSServiceImpl:251 - User root opens Session-104 
